Function,Iteration,WSOA,PSO,DE,GA,ABC,GWO,WOA,SCA,HHO,MPA,AO,DBO
F1,0,2.981120197609614e+04,2.981120197609614e+04,2.981120197609614e+04,2.981120197609614e+04,3.765923663997309e+04,2.981120197609614e+04,2.981120197609614e+04,2.981120197609614e+04,2.981120197609614e+04,2.981120197609614e+04,2.981120197609614e+04,2.981120197609614e+04
F1,1,2.970477147980501e+04,2.283277952488944e+04,1.792971459058376e+04,2.784628901659671e+04,3.621551253756102e+04,1.077367257660891e+04,2.981120197609614e+04,2.245691112479283e+04,2.231942372617589e+04,2.711402527224973e+04,2.042697631087967e+04,2.981120197609614e+04
F1,2,1.496039946762046e+04,2.283277952488944e+04,1.792971459058376e+04,2.766599259210689e+04,3.571125437110681e+04,6.701972240542074e+03,2.981120197609614e+04,2.028164195219693e+04,1.768855875304502e+04,2.491262080205259e+04,2.042697631087967e+04,2.981120197609614e+04
F1,3,1.273820965033475e+04,1.655444932171723e+04,1.792971459058376e+04,2.735749996220753e+04,2.966421764892321e+04,6.215720549491551e+03,2.026547866901441e+04,1.797789741529937e+04,1.768855875304502e+04,2.491262080205259e+04,2.042697631087967e+04,2.981120197609614e+04
F1,4,1.259843223908507e+04,1.241720425588590e+04,1.792971459058376e+04,2.264610268855741e+04,2.393874979182408e+04,2.601612575638936e+03,1.361776563643214e+04,1.797789741529937e+04,1.768855875304502e+04,1.865388247107324e+04,2.042697631087967e+04,2.981120197609614e+04
F1,5,1.190771947678813e+04,1.241720425588590e+04,1.792971459058376e+04,2.263271720517775e+04,2.354716726131024e+04,2.601612575638936e+03,1.293009396626263e+04,1.797789741529937e+04,1.768855875304502e+04,1.738177591184670e+04,2.042697631087967e+04,2.981120197609614e+04
F1,6,8.618936224026365e+03,1.241720425588590e+04,1.402200721089240e+04,2.245646582196466e+04,2.342260798900330e+04,2.332423698569177e+03,9.026349171232978e+03,1.265869563622298e+04,1.514418001827565e+04,1.344262189095965e+04,2.042697631087967e+04,1.918684060206723e+04
F1,7,4.518673162910832e+03,1.241720425588590e+04,1.402200721089240e+04,1.962819056563325e+04,2.297892782054209e+04,2.332423698569177e+03,8.272475129936065e+03,1.265869563622298e+04,9.467946961168102e+03,8.591465640430310e+03,2.042697631087967e+04,1.918684060206723e+04
F1,8,1.733928674512341e+03,1.241720425588590e+04,1.402200721089240e+04,1.926147896333040e+04,2.068083180310009e+04,1.668934487386871e+03,8.249960579970208e+03,1.265869563622298e+04,9.467946961168102e+03,8.591465640430310e+03,2.042697631087967e+04,1.918684060206723e+04
F1,9,1.373431058671269e+03,1.241720425588590e+04,1.402200721089240e+04,1.848623991371792e+04,1.729838244852886e+04,1.668934487386871e+03,8.249960579970208e+03,1.265869563622298e+04,6.986883662909487e+03,8.591465640430310e+03,2.042697631087967e+04,1.828630378750125e+04
F1,10,1.373431058671269e+03,1.241720425588590e+04,1.402200721089240e+04,1.819807602906206e+04,1.725259454036133e+04,1.668934487386871e+03,8.249960579970208e+03,1.265869563622298e+04,6.636976414336056e+03,6.526883035930171e+03,2.042697631087967e+04,1.687603070806495e+04
F1,11,1.373431058671269e+03,1.241720425588590e+04,1.072841972561026e+04,1.609305024793385e+04,1.696080089964398e+04,1.187965184840029e+03,6.261068826121738e+03,1.265869563622298e+04,6.541454380983324e+03,6.526883035930171e+03,2.042697631087967e+04,1.687603070806495e+04
F1,12,1.373431058671269e+03,1.167481259347430e+04,6.784874766463994e+03,1.506530623579879e+04,1.627216051430615e+04,1.187965184840029e+03,6.261068826121738e+03,1.265869563622298e+04,6.541454380983324e+03,5.542576830329783e+03,2.042697631087967e+04,1.687603070806495e+04
F1,13,1.311479484996810e+03,1.167481259347430e+04,6.784874766463994e+03,1.506530623579879e+04,1.627216051430615e+04,1.187965184840029e+03,6.261068826121738e+03,1.265869563622298e+04,6.541454380983324e+03,4.755024508245218e+03,2.042697631087967e+04,1.215808995721669e+04
F1,14,8.012015764602179e+02,1.167481259347430e+04,6.784874766463994e+03,1.486443944275130e+04,1.627216051430615e+04,1.187965184840029e+03,5.200164362429548e+03,1.265869563622298e+04,6.541454380983324e+03,4.755024508245218e+03,2.042697631087967e+04,1.215808995721669e+04
F1,15,6.121681588533168e+02,1.167481259347430e+04,6.784874766463994e+03,1.358395894162100e+04,1.627216051430615e+04,1.037703076215412e+03,5.200164362429548e+03,1.265869563622298e+04,6.541454380983324e+03,4.626115133828260e+03,2.042697631087967e+04,1.179097759829802e+04
F1,16,5.165615251723273e+02,1.167481259347430e+04,6.784874766463994e+03,1.358395894162100e+04,1.526832233912468e+04,6.679876357617831e+02,5.200164362429548e+03,1.265869563622298e+04,6.541454380983324e+03,3.834885527448512e+03,2.042697631087967e+04,1.179097759829802e+04
F1,17,4.724529155345288e+02,1.167481259347430e+04,6.784874766463994e+03,1.170217535909138e+04,1.405547073774503e+04,6.679876357617831e+02,3.830343991575867e+03,1.265869563622298e+04,6.541454380983324e+03,3.834885527448512e+03,2.042697631087967e+04,1.101131377758377e+04
F1,18,4.529182248593963e+02,9.904234090388367e+03,6.784874766463994e+03,1.169995606636578e+04,1.405547073774503e+04,6.679876357617831e+02,3.830343991575867e+03,1.265869563622298e+04,6.203524332132124e+03,3.363629780688985e+03,2.042697631087967e+04,9.355203858706058e+03
