Function,WSOA,PSO,DE,GA,ABC,GWO,WOA,SCA,HHO,MPA,AO,DBO
F1,2,8,5,7,11,9,6,10,4,3,1,12
F2,4,5,7,8,1,3,6,12,10,9,2,11
F3,2,10,4,8,5,9,7,12,6,3,1,11
F4,1,10,7,12,6,3,2,9,4,8,5,11
F5,3,8,1,11,10,2,6,7,5,4,9,12
F6,2,10,1,4,3,9,8,12,6,7,5,11
F7,4,7,9,2,1,6,8,12,11,3,5,10
F8,1,7,2,5,3,10,8,12,9,6,4,11
F9,3,12,2,6,1,7,4,9,8,10,5,11
F10,9,1,11,7,4,12,2,8,10,3,5,6
F11,1,12,3,4,5,10,11,8,7,2,6,9
F12,5,10,6,2,1,4,7,9,12,3,11,8
Avg_Rank,3.08,8.33,4.83,6.33,4.25,7.00,6.25,10.00,7.67,5.08,4.92,10.25
Total_Rank,37,100,58,76,51,84,75,120,92,61,59,123
