Function,f_bias,Dimension,Algorithm,Run,Fitness,Time(s)
F1,300.0,10,WSOA,1,3.000021156455788e+02,0.1927
F1,300.0,10,WSOA,2,3.000001030030160e+02,0.1919
F1,300.0,10,WSOA,3,3.000010714330550e+02,0.2032
F1,300.0,10,PSO,1,3.890684454590193e+02,0.0536
F1,300.0,10,PSO,2,3.753393450262679e+02,0.0537
F1,300.0,10,PSO,3,3.684378650672068e+02,0.0537
F1,300.0,10,DE,1,3.061859790611468e+02,0.2004
F1,300.0,10,DE,2,3.045471423782756e+02,0.2014
F1,300.0,10,DE,3,3.055519812372293e+02,0.2007
F1,300.0,10,GA,1,3.600848162047134e+02,0.1962
F1,300.0,10,GA,2,3.415843108223658e+02,0.1973
F1,300.0,10,GA,3,3.323383367972991e+02,0.1991
F1,300.0,10,ABC,1,8.051465804848712e+02,0.1883
F1,300.0,10,ABC,2,6.264127076785503e+03,0.1919
F1,300.0,10,ABC,3,5.225153101414855e+02,0.1960
F1,300.0,10,GWO,1,4.499770775839423e+02,0.1937
F1,300.0,10,GWO,2,4.691783172899477e+02,0.1938
F1,300.0,10,GWO,3,3.549822299355303e+02,0.1937
F1,300.0,10,WOA,1,3.009241091471828e+02,0.1475
F1,300.0,10,WOA,2,3.137497345462138e+02,0.1377
F1,300.0,10,WOA,3,3.094634850109740e+02,0.2152
F1,300.0,10,SCA,1,1.810641095178830e+03,0.1915
F1,300.0,10,SCA,2,2.309531785380589e+03,0.1235
F1,300.0,10,SCA,3,8.064129219544753e+02,0.2129
F1,300.0,10,HHO,1,3.022001522328675e+02,0.2823
F1,300.0,10,HHO,2,3.013636726772076e+02,0.1845
F1,300.0,10,HHO,3,3.013784711234111e+02,0.2816
F1,300.0,10,MPA,1,3.001010652062541e+02,0.1971
F1,300.0,10,MPA,2,3.001884322317696e+02,0.1279
F1,300.0,10,MPA,3,3.003358567331492e+02,0.1465
F1,300.0,10,AO,1,3.000004572828497e+02,0.1329
F1,300.0,10,AO,2,3.000005743701503e+02,0.1114
F1,300.0,10,AO,3,3.000003432020213e+02,0.1545
F1,300.0,10,DBO,1,2.605772206772146e+03,0.0977
F1,300.0,10,DBO,2,4.345810245944343e+03,0.0976
F1,300.0,10,DBO,3,3.803523115195141e+03,0.1500
F2,400.0,10,WSOA,1,4.040843397148230e+02,0.2326
F2,400.0,10,WSOA,2,4.059360953734625e+02,0.2292
F2,400.0,10,WSOA,3,4.089162683387031e+02,0.2311
F2,400.0,10,PSO,1,4.079479736458294e+02,0.0789
F2,400.0,10,PSO,2,4.082456351538298e+02,0.0794
F2,400.0,10,PSO,3,4.080644487887939e+02,0.0795
F2,400.0,10,DE,1,4.089374404151554e+02,0.2450
F2,400.0,10,DE,2,4.111749068874009e+02,0.2262
F2,400.0,10,DE,3,4.069115377955729e+02,0.2463
F2,400.0,10,GA,1,4.051253388325321e+02,0.2238
F2,400.0,10,GA,2,4.095329438907441e+02,0.2214
F2,400.0,10,GA,3,4.557202474227211e+02,0.2257
F2,400.0,10,ABC,1,4.069972818339153e+02,0.2182
F2,400.0,10,ABC,2,4.054647455896827e+02,0.2188
F2,400.0,10,ABC,3,4.016842011050113e+02,0.2203
F2,400.0,10,GWO,1,4.076048684614588e+02,0.2384
F2,400.0,10,GWO,2,4.089684922428813e+02,0.2196
F2,400.0,10,GWO,3,4.004244171149927e+02,0.2210
F2,400.0,10,WOA,1,4.077384831793101e+02,0.1636
F2,400.0,10,WOA,2,4.089560523290124e+02,0.1635
F2,400.0,10,WOA,3,4.089785657945826e+02,0.1650
F2,400.0,10,SCA,1,5.108733850107476e+02,0.1485
F2,400.0,10,SCA,2,5.839522446801258e+02,0.1485
F2,400.0,10,SCA,3,5.219936899560115e+02,0.1490
F2,400.0,10,HHO,1,4.696166876710738e+02,0.2334
F2,400.0,10,HHO,2,4.004236708868586e+02,0.2303
F2,400.0,10,HHO,3,4.089902002705321e+02,0.2352
F2,400.0,10,MPA,1,4.053273467591388e+02,0.1524
F2,400.0,10,MPA,2,4.062253243219434e+02,0.1643
F2,400.0,10,MPA,3,4.660380416453030e+02,0.1531
F2,400.0,10,AO,1,4.056061553540620e+02,0.1367
F2,400.0,10,AO,2,4.003159666551881e+02,0.1365
F2,400.0,10,AO,3,4.089163032880599e+02,0.1369
F2,400.0,10,DBO,1,4.289663677298237e+02,0.1435
F2,400.0,10,DBO,2,4.461388859915961e+02,0.1230
F2,400.0,10,DBO,3,5.336197719164811e+02,0.1236
F3,600.0,10,WSOA,1,6.000000000046140e+02,0.3280
F3,600.0,10,WSOA,2,6.000000000618340e+02,0.3276
F3,600.0,10,WSOA,3,6.000000001722882e+02,0.4992
F3,600.0,10,PSO,1,6.000288547716447e+02,0.1408
F3,600.0,10,PSO,2,6.000000769686035e+02,0.1407
F3,600.0,10,PSO,3,6.000505836426331e+02,0.1402
F3,600.0,10,DE,1,6.000000023009836e+02,0.3548
F3,600.0,10,DE,2,6.000000030244997e+02,0.3526
F3,600.0,10,DE,3,6.000000026144194e+02,0.3573
F3,600.0,10,GA,1,6.000001150382808e+02,0.2912
F3,600.0,10,GA,2,6.000001070928206e+02,0.2891
F3,600.0,10,GA,3,6.000001249019706e+02,0.2874
F3,600.0,10,ABC,1,6.000000068280264e+02,0.3426
F3,600.0,10,ABC,2,6.000000198328166e+02,0.3451
F3,600.0,10,ABC,3,6.000000037328983e+02,0.3431
F3,600.0,10,GWO,1,6.000007220291735e+02,0.2921
F3,600.0,10,GWO,2,6.000012809913037e+02,0.2883
F3,600.0,10,GWO,3,6.000000824829042e+02,0.2853
F3,600.0,10,WOA,1,6.000000882557379e+02,0.2700
F3,600.0,10,WOA,2,6.000000220659946e+02,0.2643
F3,600.0,10,WOA,3,6.000000364433051e+02,0.2631
F3,600.0,10,SCA,1,6.000919541880874e+02,0.2151
F3,600.0,10,SCA,2,6.000595987401417e+02,0.2140
F3,600.0,10,SCA,3,6.000547913188674e+02,0.2139
F3,600.0,10,HHO,1,6.000000340137586e+02,0.4030
F3,600.0,10,HHO,2,6.000000337141327e+02,0.4052
F3,600.0,10,HHO,3,6.000000415361502e+02,0.4028
F3,600.0,10,MPA,1,6.000000006789171e+02,0.2306
F3,600.0,10,MPA,2,6.000000011320118e+02,0.2320
F3,600.0,10,MPA,3,6.000000027848065e+02,0.2312
F3,600.0,10,AO,1,6.000000000043157e+02,0.2166
F3,600.0,10,AO,2,6.000000000020697e+02,0.2107
F3,600.0,10,AO,3,6.000000000060172e+02,0.2123
F3,600.0,10,DBO,1,6.000869205730615e+02,0.1899
F3,600.0,10,DBO,2,6.000182523370289e+02,0.1890
F3,600.0,10,DBO,3,6.000308711377356e+02,0.1906
F4,800.0,10,WSOA,1,8.180000229709668e+02,0.4837
F4,800.0,10,WSOA,2,8.260000259032993e+02,0.5101
F4,800.0,10,WSOA,3,8.160000122516306e+02,0.5760
F4,800.0,10,PSO,1,9.265886063787916e+02,0.2311
F4,800.0,10,PSO,2,8.511201106139888e+02,0.2347
F4,800.0,10,PSO,3,8.469285261610132e+02,0.2316
F4,800.0,10,DE,1,8.754492275163057e+02,0.4642
F4,800.0,10,DE,2,8.640000000000000e+02,0.4778
F4,800.0,10,DE,3,8.623905341298487e+02,0.4668
F4,800.0,10,GA,1,8.700000000000002e+02,0.3758
F4,800.0,10,GA,2,8.900000000001151e+02,0.3873
F4,800.0,10,GA,3,9.320000000000031e+02,0.3818
F4,800.0,10,ABC,1,8.597126872584531e+02,0.4608
F4,800.0,10,ABC,2,8.744692102190580e+02,0.4631
F4,800.0,10,ABC,3,8.648227296885744e+02,0.4628
F4,800.0,10,GWO,1,8.620054513678164e+02,0.3972
F4,800.0,10,GWO,2,8.391948958340786e+02,0.3998
F4,800.0,10,GWO,3,8.360000031974304e+02,0.3972
F4,800.0,10,WOA,1,8.300000059000889e+02,0.3710
F4,800.0,10,WOA,2,8.520089514307879e+02,0.3760
