Function,f_bias,Dimension,Algorithm,Best,Worst,Mean,Median,Std,Avg_Time(s)
F1,300.0,10,WSOA,3.000001030030160e+02,3.000021156455788e+02,3.000010966938833e+02,3.000010714330550e+02,8.218520156736598e-04,0.1959
F1,300.0,10,PSO,3.684378650672068e+02,3.890684454590193e+02,3.776152185174980e+02,3.753393450262679e+02,8.574765766939757e+00,0.0537
F1,300.0,10,DE,3.045471423782756e+02,3.061859790611468e+02,3.054283675588838e+02,3.055519812372293e+02,6.747378129746313e-01,0.2008
F1,300.0,10,GA,3.323383367972991e+02,3.600848162047134e+02,3.446691546081261e+02,3.415843108223658e+02,1.153556748390021e+01,0.1976
F1,300.0,10,ABC,5.225153101414855e+02,6.264127076785503e+03,2.530596322470620e+03,8.051465804848712e+02,2.642525184844385e+03,0.1921
F1,300.0,10,GWO,3.549822299355303e+02,4.691783172899477e+02,4.247125416031401e+02,4.499770775839423e+02,4.992600641955633e+01,0.1937
F1,300.0,10,WOA,3.009241091471828e+02,3.137497345462138e+02,3.080457762347901e+02,3.094634850109740e+02,5.331140612765641e+00,0.1668
F1,300.0,10,SCA,8.064129219544753e+02,2.309531785380589e+03,1.642195267504632e+03,1.810641095178830e+03,6.250984333380291e+02,0.1759
F1,300.0,10,HHO,3.013636726772076e+02,3.022001522328675e+02,3.016474320111620e+02,3.013784711234111e+02,3.908789080300190e-01,0.2495
F1,300.0,10,MPA,3.001010652062541e+02,3.003358567331492e+02,3.002084513903910e+02,3.001884322317696e+02,9.689286285843630e-02,0.1572
F1,300.0,10,AO,3.000003432020213e+02,3.000005743701503e+02,3.000004582850071e+02,3.000004572828497e+02,9.437665393906317e-05,0.1329
F1,300.0,10,DBO,2.605772206772146e+03,4.345810245944343e+03,3.585035189303877e+03,3.803523115195141e+03,7.269735551181840e+02,0.1151
F2,400.0,10,WSOA,4.040843397148230e+02,4.089162683387031e+02,4.063122344756628e+02,4.059360953734625e+02,1.990476329043056e+00,0.2310
F2,400.0,10,PSO,4.079479736458294e+02,4.082456351538298e+02,4.080860191961510e+02,4.080644487887939e+02,1.224732765175841e-01,0.0793
F2,400.0,10,DE,4.069115377955729e+02,4.111749068874009e+02,4.090079616993764e+02,4.089374404151554e+02,1.741227333795490e+00,0.2391
F2,400.0,10,GA,4.051253388325321e+02,4.557202474227211e+02,4.234595100486658e+02,4.095329438907441e+02,2.288264447895858e+01,0.2236
F2,400.0,10,ABC,4.016842011050113e+02,4.069972818339153e+02,4.047154095095364e+02,4.054647455896827e+02,2.232836033496347e+00,0.2191
F2,400.0,10,GWO,4.004244171149927e+02,4.089684922428813e+02,4.056659259397775e+02,4.076048684614588e+02,3.747881937355995e+00,0.2264
F2,400.0,10,WOA,4.077384831793101e+02,4.089785657945826e+02,4.085577004343018e+02,4.089560523290124e+02,5.793469870984035e-01,0.1641
F2,400.0,10,SCA,5.108733850107476e+02,5.839522446801258e+02,5.389397732156284e+02,5.219936899560115e+02,3.215076189896143e+01,0.1487
F2,400.0,10,HHO,4.004236708868586e+02,4.696166876710738e+02,4.263435196094882e+02,4.089902002705321e+02,3.079796164234478e+01,0.2330
F2,400.0,10,MPA,4.053273467591388e+02,4.660380416453030e+02,4.258635709087951e+02,4.062253243219434e+02,2.841000604417070e+01,0.1566
F2,400.0,10,AO,4.003159666551881e+02,4.089163032880599e+02,4.049461417657699e+02,4.056061553540620e+02,3.541954357152416e+00,0.1367
F2,400.0,10,DBO,4.289663677298237e+02,5.336197719164811e+02,4.695750085459670e+02,4.461388859915961e+02,4.582592157466915e+01,0.1300
F3,600.0,10,WSOA,6.000000000046140e+02,6.000000001722882e+02,6.000000000795789e+02,6.000000000618340e+02,6.959318142859073e-08,0.3849
F3,600.0,10,PSO,6.000000769686035e+02,6.000505836426331e+02,6.000265051276270e+02,6.000288547716447e+02,2.068609276206164e-02,0.1406
F3,600.0,10,DE,6.000000023009836e+02,6.000000030244997e+02,6.000000026466342e+02,6.000000026144194e+02,2.962512880522942e-07,0.3549
F3,600.0,10,GA,6.000001070928206e+02,6.000001249019706e+02,6.000001156776907e+02,6.000001150382808e+02,7.284599719810999e-06,0.2892
F3,600.0,10,ABC,6.000000037328983e+02,6.000000198328166e+02,6.000000101312471e+02,6.000000068280264e+02,6.975447072862534e-06,0.3436
F3,600.0,10,GWO,6.000000824829042e+02,6.000012809913037e+02,6.000006951677939e+02,6.000007220291735e+02,4.896575308076345e-04,0.2886
